Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Baky Bakery And Cakes,Bakery,100,188,"jayanagar, bangalore"
Wendy's,Burger,250,567,"whitefield, bangalore"
Wendy's,Burger,200,567,"whitefield, bangalore"
Al-Bek,Mughlai,150,31800,"varthur main road, whitefield, bangalore"
Al-Bek,Mughlai,200,31800,"varthur main road, whitefield, bangalore"
Al-Bek,Mughlai,375,31800,"varthur main road, whitefield, bangalore"
Sri Krishna Sagar,South Indian,200,156,"kr puram, bangalore"
Sri Krishna Sagar,South Indian,250,156,"kr puram, bangalore"
Sri Krishna Sagar,South Indian,225,156,"kr puram, bangalore"
New Kabab Zone,North Indian,200,4549,"bommanahalli, bangalore"
China Twist,Chinese,250,371,"bommanahalli, bangalore"
Get Cake'd,Bakery,50,44,"basavanagudi, bangalore"
L. J. Iyengar's Bakery,Bakery,150,387,"basavanagudi, bangalore"
Ambur Chicken Biryani Hyderabadi Special,Biryani,125,33,"electronic city, bangalore"
Porkeats,Goan,175,1143,"koramangala 6th block, bangalore"
The Daily Bowl,North Indian,200,2142,"btm, bangalore"
The Daily Bowl,North Indian,250,2142,"btm, bangalore"
My Khana,North Indian,150,2544,"koramangala 7th block, bangalore"
Annapurna Benne Dose,South Indian,75,119,"jp nagar, bangalore"
Sweet Chariot,Bakery,200,687,"electronic city, bangalore"
Sweet Chariot,Bakery,100,687,"electronic city, bangalore"
Chettys Corner,Sandwich,100,83,"majestic, bangalore"
Empire Restaurant,North Indian,400,45800,"hsr, bangalore"
Empire Restaurant,North Indian,100,45800,"hsr, bangalore"
The Punjabi Rasoi,Mughlai,400,5917,"whitefield, bangalore"
The Punjabi Rasoi,Mughlai,200,5917,"whitefield, bangalore"
Elevate58,Chinese,275,368,"basaveshwara nagar, bangalore"
Green Cravings,Healthy Food,250,10,"kammanahalli, bangalore"
WOW! China,Chinese,200,103,"banashankari, bangalore"
WOW! China,Chinese,300,103,"banashankari, bangalore"
Cns Pastries,Bakery,200,4059,"uttarahalli, bangalore"
Cream & Fudge,Ice Cream,150,898,"nagawara, bangalore"
Mad Over Donuts,Desserts,125,108,"rajajinagar, bangalore"
Mad Over Donuts,Desserts,100,108,"rajajinagar, bangalore"
North Indian Bhukkads - NIB,North Indian,450,9457,"nagawara, bangalore"
North Indian Bhukkads - NIB,North Indian,150,9457,"nagawara, bangalore"
Alpha Biryani,Biryani,200,1159,"whitefield, bangalore"
Ghar Waali Baat,North Indian,100,58,"bommanahalli, bangalore"
Kanti Bakes & Flakes,Bakery,50,818,"bannerghatta road, bangalore"
Drunken Monkey,Beverages,225,190,"koramangala 4th block, bangalore"
Momo Zone - The Momo Company,Chinese,150,244,"domlur, bangalore"
Bombay 2 Delhi,Street Food,100,24,"indiranagar, bangalore"
Dwaraka Grand,South Indian,200,8525,"kumaraswamy layout, bangalore"
New Pizza Pie,Pizza,175,301,"marathahalli, bangalore"
Andhra Gunpowder,Andhra,250,3682,"banashankari, bangalore"
The Brooklyn Creamery - Healthy Ice Cream,Ice Cream,200,111,"kalyan nagar, bangalore"
The Brooklyn Creamery - Healthy Ice Cream,Ice Cream,50,111,"kalyan nagar, bangalore"
Starbucks Coffee,Cafe,300,327,"malleshwaram, bangalore"
Raj Sweets,Mithai,50,103,"whitefield, bangalore"
SGS Non Veg Gundu Palav,South Indian,200,222,"electronic city, bangalore"
SGS Non Veg Gundu Palav,South Indian,150,222,"electronic city, bangalore"
Blue Tokai Coffee Roasters,Cafe,300,758,"koramangala 8th block, bangalore"
Mithai Factory,Mithai,150,95,"jp nagar, bangalore"
Food Springs,Chinese,250,1095,"jayanagar, bangalore"
The Good Food Restaurant,Biryani,200,251,"kalyan nagar, bangalore"
Kolkata Famous Kati Roll,Rolls,100,800,"banashankari, bangalore"
Kolkata Famous Kati Roll,Rolls,125,800,"banashankari, bangalore"
Kolkata Famous Kati Roll,Rolls,75,800,"banashankari, bangalore"
BOX8 - Desi Meals,North Indian,250,13500,"rajajinagar, bangalore"
Empire Juices And Ice Creams,Juices,100,176,"shivajinagar, bangalore"
Nagarjuna,Andhra,400,1778,"residency road, bangalore"
Fruitbae,Desserts,200,26,"global village, mysore road, bangalore"
MS Kabab Centre,Chinese,100,10,"banaswadi, bangalore"
Natural Ice Cream,Ice Cream,150,1898,"kalyan nagar, bangalore"
Natural Ice Cream,Ice Cream,350,1898,"kalyan nagar, bangalore"
Halal Box,Biryani,200,4,"nagawara, bangalore"
Ambur Biriyani,Biryani,150,77,"wilson garden, bangalore"
Samosa Party,Street Food,100,2065,"brookefield, bangalore"
Ipsha's Kitchen,Sandwich,200,193,"rajajinagar, bangalore"
Happy Belly Bakes,Bakery,200,874,"frazer town, bangalore"
Happy Belly Bakes,Bakery,250,874,"frazer town, bangalore"
Adukkala Restaurant,South Indian,300,5097,"kalyan nagar, bangalore"
Adukkala Restaurant,South Indian,250,5097,"kalyan nagar, bangalore"
Red Rhino,Continental,900,4756,"whitefield, bangalore"
Naalnaad Mane,South Indian,150,113,"bannerghatta road, bangalore"
Kadak Biryanis & Grill,Biryani,250,6263,"new bel road, bangalore"
Whitefield Central,South Indian,150,171,"whitefield, bangalore"
SKS Cafe,South Indian,100,13,"btm, bangalore"
CANTAN - Chinese Bar House,Asian,900,469,"lavelle road, bangalore"
Sinful Desserts,Desserts,200,210,"bommasandra, bangalore"
Cafe Coffee Day,Cafe,300,744,"bellandur, bangalore"
Cafe Coffee Day,Cafe,250,744,"bellandur, bangalore"
Sanadige - Goldfinch Hotel,Seafood,600,298,"goldfinch hotel, seshadripuram, bangalore"
Happetizer,South Indian,150,5,"kaggadasapura, bangalore"
Veg Daawat By Behrouz,Mughlai,300,6,"brookefield, bangalore"
Veg Daawat By Behrouz,Mughlai,400,6,"brookefield, bangalore"
Veg Daawat By Behrouz,Mughlai,450,6,"brookefield, bangalore"
Veg Daawat By Behrouz,Mughlai,500,6,"brookefield, bangalore"
Mast Punjabi,North Indian,200,4856,"electronic city, bangalore"
Chaatimes,Street Food,100,3135,"vijay nagar, bangalore"
M Cafe - Bengaluru Marriott Hotel Whitefield,North Indian,1250,240,"bengaluru marriott hotel whitefield, bangalore"
Ketogenic Foods - By Infinitea,Healthy Food,450,127,"cunningham road, bangalore"
Paratha Center,North Indian,200,2187,"whitefield, bangalore"
Hyderabad Biryani House,North Indian,400,6144,"malleshwaram, bangalore"
Tandoori Taal,North Indian,450,1131,"indiranagar, bangalore"
Tandoori Taal,North Indian,400,1131,"indiranagar, bangalore"
Sri Ayodhya Veg,Chinese,150,702,"basaveshwara nagar, bangalore"
ibaco,Ice Cream,100,1125,"hsr, bangalore"
Smoke House Deli Delivery,Italian,450,712,"bommanahalli, bangalore"
The Dessert Zone,Desserts,200,197,"brookefield, bangalore"
RK Fresh Food,North Indian,150,4290,"btm, bangalore"
Snack House,Fast Food,200,844,"itpl main road, whitefield, bangalore"
Salaam Sigri Rolls & Kebabs,Rolls,250,534,"new bel road, bangalore"
Pizza Plutos,Fast Food,300,439,"new bel road, bangalore"
Mealful Rolls - India's Biggest Rolls,Rolls,200,596,"bannerghatta road, bangalore"
Brahmins' Thatte Idli,South Indian,75,5703,"vijay nagar, bangalore"
