,restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
4127,1189,Asia Kitchen By Mainland China,4.3,"Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages",392,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/asia-kitchen-by-mainland-china-sarjapur-road-bangalore/order,450
4128,277,Cafe Coffee Day,3.5,"Cafe, Fast Food, Coffee, Beverages, Desserts",500,Banashankari,77.59445195,12.96528325,https://www.zomato.com/bangalore/cafe-coffee-day-4-banashankari/order,250
4129,682,Tharavadu Malabar Biryani,3.5,"Kerala, Biryani, South Indian, North Indian, Seafood",1283,Banashankari,77.59445195,12.96528325,https://www.zomato.com/bangalore/tharavadu-malabar-biryani-banashankari-bangalore/order,200
4130,164,Behrouz Biryani,4.3,"Biryani, Kebab, Hyderabadi, Lucknowi",2642,Old Airport Road,77.6663946,12.9583828,https://www.zomato.com/bangalore/behrouz-biryani-1-airport-road-bangalore/order,500
4131,2513,MBA In Khichdi,3.2,"Healthy Food, Desserts, Beverages",18,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/mba-in-khichdi-jp-nagar-bangalore/order,150
4132,376,Cupcake Bliss Cakes & Desserts,3.5,"Bakery, Desserts",140,Vasanth Nagar,77.58516878,12.98872125,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore/order,300
4133,2514,The Lassi Park,4.3,"Beverages, Ice Cream, Desserts",724,Jayanagar,77.5824229,12.9292731,https://www.zomato.com/bangalore/the-lassi-park-jayanagar-bangalore/order,150
4134,1019,New Udupi Upahar,4.0,"South Indian, Street Food, Chinese, Sichuan",9705,Marathahalli,77.6984163,12.9552572,https://www.zomato.com/bangalore/new-udupi-upahar-marathahalli/order,150
4135,724,T’s 21 Spice Biryani,4.1,"Biryani, Andhra",2220,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/ts-21-spice-biryani-sarjapur-road-bangalore/order,200
4136,2515,Jade,4.0,"Chinese, Seafood, Sichuan",1822,Marathahalli,77.6984163,12.9552572,https://www.zomato.com/bangalore/jade-marathahalli-bangalore/order,375
4137,2169,Fresh Bites,3.9,"North Indian, Chinese",826,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/fresh-bites-indiranagar-bangalore/order,100
4138,2516,Café Kaffea,3.9,"Cafe, Continental, Italian, Fast Food, Shake, Beverages, Burger, Sandwich",2363,Vijay Nagar,77.61250656,12.96591365,https://www.zomato.com/bangalore/caf%C3%A9-kaffea-vijay-nagar-bangalore/order,350
4139,2517,Login 2 Eat,3.8,"North Indian, Mughlai, Chinese, Biryani, BBQ, Kebab, Street Food",152,Koramangala 4th Block,77.6294052,12.9327778,https://www.zomato.com/bangalore/login-2-eat-koramangala-4th-block-bangalore/order,275
4140,41,Chai Point,4.2,"North Indian, Street Food, Rolls, Fast Food, Beverages, Desserts",4171,Kalyan Nagar,77.6403368,13.0221416,https://www.zomato.com/bangalore/chai-point-1-kalyan-nagar-bangalore/order,275
4141,2518,Petfull Paratha - 2X Fillings,3.4,North Indian,52,Electronic City,77.64825296,12.8487599,https://www.zomato.com/bangalore/petfull-paratha-2x-fillings-electronic-city-bangalore/order,150
4142,83,LeanCrust Pizza- ThinCrust Experts,4.5,"Pizza, Fast Food, Beverages, Desserts",416,Bommanahalli,77.6239038,12.9089453,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-2-bommanahalli-bangalore/order,400
4143,291,The Dessert Zone,3.7,"Desserts, Bakery",121,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/the-dessert-zone-1-sarjapur-road-bangalore/order,200
4144,484,Leon's Burgers & Wings,4.2,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",9944,Bellandur,77.6782471,12.93103185,https://www.zomato.com/bangalore/leons-burgers-wings-bellandur-bangalore/order,200
4145,806,Pizza Stop,3.8,"Pasta, Pizza, Fast Food",2335,Jayanagar,77.5824229,12.9292731,https://www.zomato.com/bangalore/pizza-stop-jayanagar-bangalore/order,200
4146,1849,Chili's American Grill & Bar,3.8,"American, Mexican, Burger, Tex-Mex, Desserts, Beverages",757,Orion Mall,77.5824229,12.9292731,https://www.zomato.com/bangalore/chilis-american-grill-bar-malleshwaram/order,750
4147,1259,BigBites,3.6,"Fast Food, Momos, Street Food",278,Banaswadi,77.6518539,13.0141618,https://www.zomato.com/bangalore/bigbites-banaswadi-bangalore/order,250
4148,2519,Donne Biriyani Palace,3.9,"Biryani, North Indian",1861,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/donne-biriyani-palace-bannerghatta-road-bangalore/order,150
4149,2520,Cardamom- Ghar Ka Swad,3.9,"Chinese, North Indian, Street Food, South Indian, Desserts, Sichuan, Beverages",619,BTM,77.60456543,12.91127585,https://www.zomato.com/bangalore/cardamom-ghar-ka-swad-1-btm-bangalore/order,200
4150,226,The Daily Bowl,3.2,North Indian,3,Banaswadi,77.6518539,13.0141618,https://www.zomato.com/bangalore/the-daily-bowl-1-banaswadi-bangalore/order,200
4151,2521,Dairy Day Ice Creams,4.3,"Ice Cream, Desserts",153,Koramangala 5th Block,77.6189768,12.9348429,https://www.zomato.com/bangalore/dairy-day-ice-creams-koramangala-5th-block-bangalore/order,100
4152,2522,Kings Shawarma @90,0.0,Rolls,0,Sahakara Nagar,77.58006135,13.0621474,https://www.zomato.com/bangalore/kings-shawarma-@90-sahakara-nagar-bangalore/order,100
4153,1225,DiabeSmart,4.0,"Sandwich, Street Food, North Indian, Healthy Food",35,Koramangala 3rd Block,77.6254034,12.9282918,https://www.zomato.com/bangalore/diabesmart-koramangala-3rd-block-bangalore/order,200
4154,2523,Lan Thai,4.3,"Thai, Salad, Seafood, Beverages",115,New BEL Road,77.564105,13.0393922,https://www.zomato.com/bangalore/lan-thai-new-bel-road/order,400
4155,2524,Foodeo - USA Burgers Point,0.0,"Fast Food, Burger",6,Jeevan Bhima Nagar,77.6568367,12.9678074,https://www.zomato.com/bangalore/foodeo-usa-burgers-point-jeevan-bhima-nagar-bangalore/order,250
4156,147,Basmati Express,3.5,"Chettinad, North Indian",315,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/basmati-express-hsr-bangalore/order,150
4157,688,Deli2Go,4.0,"Cafe, Fast Food, Hot dogs, Street Food, Beverages",23,Old Madras Road,77.6962756,13.0086263,https://www.zomato.com/bangalore/deli2go-old-madras-road-bangalore/order,150
4158,2525,Nagashree's,0.0,"South Indian, North Indian, Fast Food",8,Shanti Nagar,77.5979099,12.9575547,https://www.zomato.com/bangalore/nagashrees-shanti-nagar/order,275
4159,2526,Hakuna Matata,4.2,"North Indian, Asian, Seafood, Chinese, Sichuan, Fast Food, Desserts, Beverages",2532,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/order,700
4160,289,ibaco,4.4,"Ice Cream, Bakery, Desserts",470,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/ibaco-jp-nagar-bangalore/order,100
4161,1251,Prasuma Momo Kitchen,4.1,Momos,66,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/prasuma-momo-kitchen-hsr-bangalore/order,150
4162,291,The Dessert Zone,3.8,"Desserts, Bakery",156,HBR Layout,77.6323597,13.0358698,https://www.zomato.com/bangalore/the-dessert-zone-hbr-layout-bangalore/order,200
4163,2390,Lassi Ghar,3.6,"Beverages, Ice Cream, Fast Food, Desserts, Shake",72,Brookefield,77.7168891,12.9668213,https://www.zomato.com/bangalore/lassi-ghar-brookefield-bangalore/order,100
4164,430,Rolls & Bowls Company,3.6,"Rolls, North Indian, Chinese, Fast Food, Sichuan",68,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/rolls-bowls-company-whitefield-bangalore/order,250
4165,2275,Kabab Magic,4.0,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",9928,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/kabab-magic-hsr-bangalore/order,200
4166,2527,Cake Pirates,4.1,Desserts,142,Electronic City,77.64825296,12.8487599,https://www.zomato.com/bangalore/cake-pirates-electronic-city-bangalore/order,400
4167,2528,The Bake Feast,4.0,"Bakery, Desserts",278,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order,150
4168,2529,Punjabi Food Corner,3.5,"North Indian, Chinese, Street Food, Fast Food, Desserts, Beverages",10600,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/punjabi-food-corner-jp-nagar/order,250
4169,263,Natural Ice Cream,4.6,"Ice Cream, Beverages",2797,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/natural-ice-cream-hsr-bangalore/order,150
4170,2530,Fabelle Chocolates - ITC Windsor,4.3,Desserts,54,ITC Windsor,77.5848461,12.9952971,https://www.zomato.com/bangalore/fabelle-chocolates-itc-windsor-sankey-road-bangalore/order,100
4171,961,Food Court By Kitchens@,3.8,"North Indian, South Indian, Chinese, Mughlai, Biryani, Momos, Desserts, Beverages",14800,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/food-court-by-kitchens@-jp-nagar-bangalore/order,250
4172,895,Bakingo,4.3,"Bakery, Desserts",6390,Koramangala 1st Block,77.6308832,12.9275886,https://www.zomato.com/bangalore/bakingo-koramangala-1st-block/order,400
4173,10,Mega Biryani,4.1,Biryani,92,Jeevan Bhima Nagar,77.6568367,12.9678074,https://www.zomato.com/bangalore/mega-biryani-jeevan-bhima-nagar-bangalore/order,200
4174,1904,Rajdhani,3.9,"Gujarati, North Indian, Rajasthani",3398,Royal Meenakshi Mall,77.59554297,12.8756837,https://www.zomato.com/bangalore/rajdhani-1-bannerghatta-road-bangalore/order,500
4175,218,Al-Bek,4.0,"Mughlai, Arabian, North Indian, Chinese, Seafood",33600,Jayanagar,77.5824229,12.9292731,https://www.zomato.com/bangalore/al-bek-jayanagar-bangalore/order,375
4176,2531,Sri Krishna Nalapaka,3.9,"Street Food, Chinese, North Indian, South Indian, Beverages, Shake",819,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/sri-krishna-nalapaka-hsr-bangalore/order,175
4177,375,MOJO Pizza - 2X Toppings,4.4,"Pizza, Fast Food, Desserts, Beverages",559,City Market,77.57627054,12.965718,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-city-market-bangalore/order,250
4178,2532,Chandraprakash Veg,0.0,"North Indian, Chinese, South Indian, Juices",12,City Market,77.57627054,12.965718,https://www.zomato.com/bangalore/chandraprakash-veg-city-market-bangalore/order,100
4179,2230,Byg Brewski Brewing Company,4.1,"Continental, Asian, Pizza, Burger, Biryani, Beverages",17500,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/order,900
4180,911,Signature Wraps & Rolls By Faasos,0.0,"Rolls, Wraps",1,Marathahalli,77.6984163,12.9552572,https://www.zomato.com/bangalore/signature-wraps-rolls-by-faasos-2-marathahalli-bangalore/order,250
4181,498,The Good Bowl,4.0,"North Indian, Pasta, Italian",320,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/the-good-bowl-1-sarjapur-road-bangalore/order,200
